0,FileTitle,Total return count,Total return count above 0.50,Return 1 count above 0.50,Return 2 count above 0.50,Return 3 count above 0.50,Return 4 count above 0.50,Return 5 count above 0.50,Return 6 count above 0.50,Return 7 count above 0.50,Return 8 count above 0.50,Return 9 count above 0.50,Other return count above 0.50,Elev minimum,Elev maximum,Elev mean,Elev mode,Elev stddev,Elev variance,Elev CV,Elev IQ,Elev skewness,Elev kurtosis,Elev AAD,Elev MAD median,Elev MAD mode,Elev L1,Elev L2,Elev L3,Elev L4,Elev L CV,Elev L skewness,Elev L kurtosis,Elev P01,Elev P05,Elev P10,Elev P20,Elev P25,Elev P30,Elev P40,Elev P50,Elev P60,Elev P70,Elev P75,Elev P80,Elev P90,Elev P95,Elev P99,Canopy relief ratio,Elev SQRT mean SQ,Elev CURT mean CUBE,Int minimum,Int maximum,Int mean,Int mode,Int stddev,Int variance,Int CV,Int IQ,Int skewness,Int kurtosis,Int AAD,Int L1,Int L2,Int L3,Int L4,Int L CV,Int L skewness,Int L kurtosis,Int P01,Int P05,Int P10,Int P20,Int P25,Int P30,Int P40,Int P50,Int P60,Int P70,Int P75,Int P80,Int P90,Int P95,Int P99,Profile area,miasto,gatunek,gatunek2,wiek_dok,klasa_w,rodzaj
59,59_usg_l_d,149987,121896,67698,39227,12656,2123,188,4,0,0,0,0,0.510000,32.029999,17.843138,21.523333,5.928932,35.152234,0.332281,8.080001,-0.700675,2.925624,4.781481,3.820000,3.606667,17.843138,3.307374,-0.519273,0.352170,0.185358,-0.157004,0.106480,2.450000,5.940000,9.065001,12.870000,14.210000,15.410000,17.450001,19.000000,20.340000,21.639999,22.290001,22.959999,24.570000,25.670000,27.670000,0.549909,18.802380,19.501408,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,51.827078,ujscie_gorlickie,bk,,62,4,lesny
60,60_usg_l_d,121592,111969,70910,34068,6381,572,37,1,0,0,0,0,0.510000,51.910000,15.393421,20.090952,6.981760,48.744969,0.453555,12.130000,-0.209568,1.885829,6.094292,5.750000,4.949049,15.393421,4.004580,-0.254187,0.031803,0.260149,-0.063474,0.007942,1.810000,4.010000,5.600000,7.970000,9.050000,10.200000,13.730000,16.680000,18.709999,20.410000,21.180000,21.990000,23.900000,25.340000,27.690001,0.289561,16.902720,17.995158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.368909,ujscie_gorlickie,jd,,42,3,lesny
61,61_usg_l_d,120090,97301,59930,29828,6865,652,26,0,0,0,0,0,0.510000,39.080002,19.551177,24.998890,7.508476,56.377207,0.384042,11.330001,-0.383241,2.400537,6.271359,5.510000,5.401110,19.551177,4.269060,-0.414124,0.288714,0.218353,-0.097006,0.067629,2.040000,6.000000,8.620000,12.650000,14.200000,15.510000,18.139999,20.629999,22.780001,24.639999,25.530001,26.420000,28.350000,29.969999,33.570000,0.493678,20.943380,21.979223,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,46.860719,ujscie_gorlickie,bk,,62,4,lesny
62,62_usg_l_d,114594,97609,62886,28201,5939,553,28,2,0,0,0,0,0.510000,38.459999,18.382115,20.388571,5.206513,27.107775,0.283238,6.200001,-0.659258,3.996388,3.977899,3.040001,3.001428,18.382115,2.843796,-0.350868,0.483530,0.154704,-0.123380,0.170030,3.060000,8.160000,11.720000,14.690000,15.590000,16.400000,17.889999,19.090000,20.160000,21.219999,21.790001,22.440001,24.100000,25.500000,29.190001,0.470938,19.105226,19.672314,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,53.220261,ujscie_gorlickie,bk,,72,4,lesny
63,63_usg_l_d,117114,99068,60969,30297,7061,705,35,1,0,0,0,0,0.510000,33.860001,19.240935,20.096508,5.062939,25.633353,0.263134,5.870001,-0.832773,4.132882,3.839213,2.879999,2.846508,19.240935,2.750167,-0.392838,0.487884,0.142933,-0.142841,0.177402,3.830000,8.910000,12.760000,15.790000,16.740000,17.510000,18.820000,19.959999,21.010000,22.080000,22.610001,23.150000,24.620001,26.126484,29.510000,0.561647,19.895895,20.404101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,54.574486,ujscie_gorlickie,bk,,72,4,lesny
64,64_usg_l_d,116084,106744,73527,28139,4676,388,13,1,0,0,0,0,0.520000,35.160000,21.944746,23.063492,4.114625,16.930136,0.187499,4.910000,-0.934507,5.055645,3.125893,2.410000,2.366508,21.944746,2.230941,-0.287750,0.373111,0.101662,-0.128982,0.167244,9.144300,14.630000,16.760000,19.000000,19.750000,20.400000,21.530001,22.490000,23.350000,24.209999,24.660000,25.160000,26.520000,27.700001,29.870001,0.618497,22.327156,22.648360,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.717026,ujscie_gorlickie,bk,,67,4,lesny
65,65_usg_l_d,162485,147011,94588,42017,9365,993,46,2,0,0,0,0,0.510000,31.219999,16.758380,22.933174,7.388425,54.588830,0.440879,12.570000,-0.440121,1.955622,6.452367,5.480000,4.483173,16.758380,4.194800,-0.553689,0.042080,0.250311,-0.131994,0.010032,1.630000,3.660000,5.590000,8.930000,10.350000,11.820000,15.880000,18.850000,20.709999,22.230000,22.920000,23.620001,25.209999,26.280001,28.000000,0.529091,18.314796,19.375187,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,53.308313,ujscie_gorlickie,so,,72,4,lesny
66,66_usg_l_d,152389,129461,85815,37369,5969,304,4,0,0,0,0,0,0.510000,31.500000,19.790029,21.661905,5.106338,26.074688,0.258026,6.459999,-0.773962,3.564053,4.003319,3.129999,3.018095,19.790029,2.820821,-0.406831,0.391723,0.142538,-0.144224,0.138869,4.880000,10.060000,12.700000,15.840000,16.930000,17.860001,19.370001,20.600000,21.719999,22.809999,23.389999,23.990000,25.610001,26.850000,28.900000,0.622137,20.438193,20.950494,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.479130,ujscie_gorlickie,bk,,47,3,lesny
67,67_usg_l_d,103550,90451,65055,22539,2737,120,0,0,0,0,0,0,0.510000,33.759998,18.152086,12.648888,6.882789,47.372786,0.379173,11.070001,0.079667,2.184336,5.836162,5.270000,5.631113,18.152086,3.941733,0.133842,0.193620,0.217150,0.033955,0.049121,3.310000,7.710000,9.850000,12.040000,12.860000,13.650000,15.350000,17.309999,19.850000,22.580000,23.930000,25.190001,27.780001,29.395000,31.629999,0.530589,19.413153,20.477480,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,49.324302,ujscie_gorlickie,bk,,42,3,lesny
68,68_sme_l_d,87371,70173,56648,13035,488,2,0,0,0,0,0,0,0.510000,23.610001,11.724342,11.876667,3.746165,14.033755,0.319520,5.099999,-0.199646,2.828291,3.004459,2.540000,2.546667,11.724342,2.118784,-0.087215,0.245592,0.180717,-0.041163,0.115912,2.920000,5.180000,6.640000,8.570000,9.260000,9.870000,10.950000,11.910000,12.850000,13.830000,14.360000,14.930000,16.420000,17.600000,19.780001,0.485469,12.308280,12.795082,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.234599,smerekowiec,jd,,47,3,lesny
