0,FileTitle,Total return count,Total return count above 0.50,Return 1 count above 0.50,Return 2 count above 0.50,Return 3 count above 0.50,Return 4 count above 0.50,Return 5 count above 0.50,Return 6 count above 0.50,Return 7 count above 0.50,Return 8 count above 0.50,Return 9 count above 0.50,Other return count above 0.50,Elev minimum,Elev maximum,Elev mean,Elev mode,Elev stddev,Elev variance,Elev CV,Elev IQ,Elev skewness,Elev kurtosis,Elev AAD,Elev MAD median,Elev MAD mode,Elev L1,Elev L2,Elev L3,Elev L4,Elev L CV,Elev L skewness,Elev L kurtosis,Elev P01,Elev P05,Elev P10,Elev P20,Elev P25,Elev P30,Elev P40,Elev P50,Elev P60,Elev P70,Elev P75,Elev P80,Elev P90,Elev P95,Elev P99,Canopy relief ratio,Elev SQRT mean SQ,Elev CURT mean CUBE,Int minimum,Int maximum,Int mean,Int mode,Int stddev,Int variance,Int CV,Int IQ,Int skewness,Int kurtosis,Int AAD,Int L1,Int L2,Int L3,Int L4,Int L CV,Int L skewness,Int L kurtosis,Int P01,Int P05,Int P10,Int P20,Int P25,Int P30,Int P40,Int P50,Int P60,Int P70,Int P75,Int P80,Int P90,Int P95,Int P99,Profile area,miasto,gatunek,gatunek2,wiek_dok,klasa_w,rodzaj
69,69_sme_l_d,117136,84977,70876,13250,827,23,1,0,0,0,0,0,0.510000,26.670000,10.791390,1.340476,8.339050,69.539747,0.772750,16.720000,-0.000247,1.272557,7.925860,8.420001,12.029524,10.791390,4.625022,0.146533,-0.616103,0.428584,0.031683,-0.133211,0.600000,0.890000,1.170000,1.650000,1.880000,2.160000,3.080000,13.370000,16.080000,17.830000,18.600000,19.370001,21.049999,22.139999,23.770000,0.393020,13.637926,15.194245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.351256,smerekowiec,jd,,52,3,lesny
70,70_sme_l_d,124462,81434,71520,9598,312,4,0,0,0,0,0,0,0.510000,25.930000,18.167570,18.667143,3.617959,13.089627,0.199144,3.410000,-2.154017,9.975741,2.429926,1.690001,1.702858,18.167570,1.769906,-0.415690,0.434047,0.097421,-0.234865,0.245237,1.890000,12.310000,14.800000,16.430000,16.930000,17.360001,18.090000,18.740000,19.360001,20.000000,20.340000,20.709999,21.639999,22.360001,23.556719,0.694633,18.524310,18.765158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.094705,smerekowiec,so,,72,4,lesny
71,71_reg_l_d,149826,129274,78816,40423,9124,866,44,1,0,0,0,0,0.520000,27.639999,17.178195,19.460952,4.600255,21.162348,0.267796,5.800000,-0.846112,3.505353,3.610810,2.790001,2.669047,17.178195,2.532314,-0.424147,0.345242,0.147414,-0.167494,0.136335,4.220000,7.690000,10.630000,13.730000,14.690000,15.530000,16.900000,17.990000,19.030001,20.000000,20.490000,21.000000,22.270000,23.270000,24.969999,0.614240,17.783492,18.248938,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,58.590268,regietow,bk,,67,4,lesny
72,72_reg_l_d,118798,97180,61725,29474,5577,391,13,0,0,0,0,0,0.520000,34.169998,19.097284,19.214443,3.393972,11.519049,0.177720,3.900000,-1.206715,6.370743,2.509439,1.950001,1.964443,19.097284,1.808928,-0.237069,0.327255,0.094722,-0.131055,0.180911,7.065800,13.310000,15.200000,16.879999,17.420000,17.889999,18.680000,19.410000,20.139999,20.900000,21.320000,21.780001,22.980000,23.840000,25.139999,0.552074,19.396526,19.641666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,61.394988,regietow,bk,,67,4,lesny
73,73_reg_l_d,151567,123928,78684,37137,7478,611,18,0,0,0,0,0,0.510000,26.889999,14.705718,16.003016,4.180320,17.475074,0.284265,5.130000,-0.706014,3.542811,3.255537,2.480000,2.403015,14.705718,2.303580,-0.320864,0.346127,0.156645,-0.139289,0.150256,2.750000,6.520000,8.890000,11.530000,12.450000,13.170000,14.370000,15.380000,16.260000,17.129999,17.580000,18.059999,19.309999,20.400000,22.930000,0.538124,15.288331,15.740067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.213021,regietow,bk,,52,3,lesny
74,74_reg_l_d,106090,89679,56564,27134,5561,406,13,1,0,0,0,0,0.510000,31.709999,18.475444,23.290952,6.564518,43.092901,0.355310,10.030000,-0.664139,2.532028,5.463731,4.210001,3.770951,18.475444,3.674409,-0.630151,0.259131,0.198881,-0.171497,0.070523,2.200000,6.070000,8.550000,11.840000,13.540000,15.470000,18.459999,20.209999,21.629999,22.930000,23.570000,24.219999,25.719999,26.850000,28.639999,0.575816,19.607000,20.413892,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,53.789368,regietow,so,,72,4,lesny
75,75_wol_l_d,129198,84039,63621,18363,1967,86,2,0,0,0,0,0,0.510000,25.719999,9.532456,10.113809,3.997048,15.976391,0.419309,5.770000,0.155467,2.732839,3.248752,2.860001,2.873810,9.532456,2.270753,0.026218,0.212528,0.238213,0.011546,0.093594,1.553800,3.110000,4.140000,5.730000,6.490000,7.210000,8.580000,9.690000,10.640000,11.660000,12.260000,12.940000,14.640000,15.970000,19.190001,0.357892,10.336534,11.005498,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.873261,wolowiec,bk,,50,3,lesny
76,76_wol_l_d,115010,79309,55835,19616,3452,383,23,0,0,0,0,0,0.510000,29.680000,10.470341,13.937460,5.896289,34.766227,0.563142,10.010000,0.080988,2.100287,5.011618,4.740000,4.617461,10.470341,3.381952,0.028242,0.097362,0.323003,0.008351,0.028789,0.810000,1.530000,2.350000,3.890000,4.940000,6.450000,8.970000,10.880000,12.630000,14.200000,14.950000,15.800000,18.000000,19.830000,23.190001,0.341458,12.016399,13.116259,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.199021,wolowiec,bk,,45,3,lesny
77,77_wol_p_d,119788,94297,70807,20826,2500,157,7,0,0,0,0,0,0.510000,25.870001,10.017744,9.768413,5.485355,30.089116,0.547564,8.300000,0.164756,2.258210,4.565252,4.150000,4.158413,10.017744,3.144374,0.097423,0.192291,0.313880,0.030983,0.061154,0.710000,1.360000,2.320000,4.670000,5.710000,6.660000,8.360000,9.950000,11.540000,13.170000,14.010000,14.960000,17.450001,19.270000,22.240391,0.374911,11.421208,12.465053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,35.040003,wolowiec,jd,,55,3,porolny
78,78_wol_l_d,122084,88482,59857,23383,4662,551,28,1,0,0,0,0,0.510000,35.150002,13.769581,2.159524,7.797301,60.797902,0.566270,13.050000,-0.019390,1.959402,6.666133,6.380001,12.110476,13.769581,4.486303,-0.051181,0.089148,0.325813,-0.011408,0.019871,0.800000,1.640000,2.560000,5.210000,7.030000,8.730000,11.700000,14.270000,16.690001,19.010000,20.080000,21.200001,23.748985,25.830000,29.180000,0.382782,15.823987,17.227610,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.903352,wolowiec,jd,,50,3,lesny
79,79_wol_l_d,156984,119379,68821,38089,10998,1401,69,1,0,0,0,0,0.510000,35.160000,19.063948,23.610000,7.316944,53.537666,0.383811,10.030001,-0.620560,2.771897,5.917417,4.929999,4.810000,19.063948,4.106886,-0.564047,0.408667,0.215427,-0.137342,0.099508,0.930000,4.090000,8.260000,13.160000,14.670000,15.920000,18.200001,20.129999,22.020000,23.790001,24.700001,25.600000,27.690001,29.030001,31.160000,0.535467,20.419876,21.361307,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,45.971405,wolowiec,jd,,50,3,lesny
80,80_rad_l_d,100721,63290,47939,13822,1469,60,0,0,0,0,0,0,0.510000,23.930000,11.915382,13.149365,4.524396,20.470159,0.379711,5.850000,-0.502272,2.825202,3.602812,2.900000,2.879365,11.915382,2.539986,-0.280220,0.308153,0.213169,-0.110323,0.121321,0.760000,2.980000,5.180000,8.260000,9.290000,10.060000,11.420000,12.520000,13.490000,14.530000,15.140000,15.810000,17.299999,18.370001,20.440001,0.486993,12.745437,13.345567,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,36.672147,radocyna,md,,65,4,lesny
81,81_rad_l_d,106455,78563,58333,18252,1899,79,0,0,0,0,0,0,0.510000,26.740000,14.795317,17.996667,4.825797,23.288321,0.326171,6.490001,-0.693966,3.072173,3.859217,3.170001,3.133333,14.795317,2.689488,-0.392299,0.306250,0.181780,-0.145864,0.113869,1.840000,5.090000,7.910000,10.980000,11.960000,12.840000,14.280000,15.530000,16.740000,17.900000,18.450001,19.010000,20.280001,21.230000,22.990000,0.544617,15.562436,16.127090,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.054982,radocyna,md,,60,3,lesny
82,82_tyl_l_d,160070,129695,65011,41341,16970,5080,1089,190,14,0,0,0,0.510000,29.910000,13.173804,15.443333,5.301592,28.106879,0.402434,7.989999,-0.293942,2.382439,4.396031,3.750000,3.513333,13.173804,3.015531,-0.248477,0.228999,0.228904,-0.082399,0.075940,1.660000,3.650000,5.480000,7.990000,9.140000,10.360000,12.430000,14.020000,15.300000,16.500000,17.129999,17.820000,19.480000,20.809999,23.590000,0.430742,14.200556,14.967804,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44.937738,tylawa,so,,68,4,lesny
83,83_tyl_l_d,173771,151621,65800,47603,24698,9945,2912,620,43,0,0,0,0.510000,30.350000,15.593201,19.929683,6.134468,37.631696,0.393407,9.740000,-0.308960,2.157385,5.202591,4.660000,4.439683,15.593201,3.508220,-0.291062,0.161708,0.224984,-0.082966,0.046094,2.420000,4.870000,6.710000,9.450000,10.760000,12.000000,14.360000,16.520000,18.290001,19.770000,20.500000,21.280001,23.080000,24.309999,26.540001,0.505469,16.756473,17.630868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.555725,tylawa,so,,71,4,lesny
84,84_rze_p_d,191385,154906,53971,44697,30287,16171,6715,2267,798,0,0,0,0.510000,27.900000,14.800500,15.726666,4.827537,23.305118,0.326174,5.780001,-0.749286,3.529067,3.726307,2.849999,2.826667,14.800500,2.656044,-0.371304,0.415553,0.179456,-0.139796,0.156456,1.250000,4.610000,8.220000,11.440000,12.330000,13.090000,14.360000,15.470000,16.500000,17.549999,18.110001,18.730000,20.270000,21.490000,23.830000,0.521742,15.567908,16.124797,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,49.860358,rzepedz,so,,52,3,porolny
85,85_rze_p_d,169463,136190,49098,39805,26136,13243,5409,1819,680,0,0,0,0.510000,27.559999,12.089493,12.961587,5.142585,26.446181,0.425376,7.370000,-0.279076,2.386028,4.211649,3.610000,3.551587,12.089493,2.929397,-0.207725,0.251285,0.242309,-0.070910,0.085780,1.120000,2.600000,4.420000,7.370000,8.550000,9.590000,11.250000,12.630000,13.900000,15.240000,15.920000,16.650000,18.480000,19.820000,22.090000,0.428077,13.137802,13.904364,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,43.493088,rzepedz,so,,52,3,porolny
86,86_mal_l_d,174686,131251,85188,37162,8035,828,38,0,0,0,0,0,0.510000,27.430000,13.906515,16.747460,4.550167,20.704024,0.327197,5.840000,-0.642736,2.988715,3.617186,2.809999,2.837461,13.906515,2.534800,-0.363543,0.312363,0.182274,-0.143421,0.123230,2.270000,4.800000,7.040000,10.240000,11.340000,12.240000,13.570000,14.670000,15.700000,16.690001,17.180000,17.730000,19.040001,20.100000,22.020000,0.497642,14.631987,15.172238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.120692,malastow,so,,75,4,lesny
87,87_zyn_l_d,142070,112055,63400,32931,11873,3070,633,123,25,0,0,0,0.510000,30.410000,12.054490,14.748095,5.775769,33.359505,0.479138,8.820000,-0.061909,2.255772,4.808618,4.250000,4.228095,12.054490,3.306783,-0.092446,0.214765,0.274320,-0.027956,0.064947,1.020000,2.370000,3.740000,6.230000,7.490000,8.730000,10.810000,12.580000,14.100000,15.560000,16.309999,17.120001,19.379999,21.100000,24.230000,0.386103,13.366748,14.335600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.895072,zyndranowa,so,,73,4,lesny
88,88_nie_p_d,92766,52827,41072,10601,1120,34,0,0,0,0,0,0,0.510000,26.040001,12.243528,15.098572,5.990285,35.883509,0.489261,9.829999,-0.155494,1.997123,5.124597,4.780000,4.608572,12.243528,3.445628,-0.153872,0.106445,0.281424,-0.044657,0.030893,0.610000,2.300000,3.740000,6.110000,7.300000,8.490000,10.650000,12.830000,14.690000,16.309999,17.129999,17.969999,19.860001,21.190001,23.190001,0.459598,13.630364,14.612171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29.793422,nieznajowa,so,,75,4,porolny
89,89_nie_p_d,104430,66563,53273,12209,1037,43,1,0,0,0,0,0,0.510000,25.709999,15.229246,18.109999,5.445073,29.648816,0.357541,5.259999,-1.398935,4.427434,3.998998,2.529999,2.410001,15.229246,2.809354,-0.789165,0.539037,0.184471,-0.280906,0.191872,0.590000,1.040000,6.802002,12.600000,13.550000,14.310000,15.620000,16.610001,17.559999,18.389999,18.809999,19.280001,20.410000,21.270000,22.700001,0.584097,16.173383,16.704036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.564619,nieznajowa,so,,75,4,porolny
90,90_ode_l_d,228279,142419,96596,38453,6801,545,24,0,0,0,0,0,0.510000,29.440001,17.152791,19.337461,5.045451,25.456576,0.294148,5.849999,-1.034650,3.733321,3.910819,2.690000,2.522540,17.152791,2.726214,-0.597283,0.417778,0.158937,-0.219089,0.153245,2.410000,6.380000,9.550000,13.500000,14.810000,15.830000,17.280001,18.389999,19.320000,20.200001,20.660000,21.139999,22.340000,23.309999,25.190001,0.575278,17.879447,18.394297,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.362991,oderne,bk,,67,4,lesny
91,91_ode_l_d,195480,153146,111734,36466,4624,308,14,0,0,0,0,0,0.510000,29.340000,14.296995,15.153810,4.917769,24.184451,0.343972,6.490000,-0.498780,2.926575,3.917360,3.210000,3.186191,14.296995,2.761670,-0.282742,0.335045,0.193164,-0.102381,0.121320,1.200000,4.920000,7.360000,10.270000,11.320000,12.210000,13.660000,14.880000,15.980000,17.170000,17.809999,18.549999,20.209999,21.420000,23.570000,0.478217,15.119138,15.741049,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.043473,oderne,bk,,67,4,lesny
92,92_bar_p_d,106958,69498,57594,11099,776,29,0,0,0,0,0,0,0.510000,24.190001,10.390218,3.892857,5.706741,32.566891,0.549242,10.140000,0.123549,1.870261,4.944942,5.129999,6.707143,10.390218,3.284360,0.110666,0.007616,0.316101,0.033695,0.002319,0.950000,2.240000,3.040000,4.260000,4.880000,5.770000,8.330000,10.600000,12.370000,14.080000,15.020000,16.010000,18.139999,19.620001,21.740000,0.417239,11.854242,12.926148,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.699761,bartne,bk,,75,4,porolny
93,93_wol_p_d,146998,107169,69620,29888,6752,855,50,4,0,0,0,0,0.510000,30.600000,16.731176,18.659524,5.690215,32.378544,0.340097,7.610000,-0.642130,2.862579,4.570247,3.620000,3.460477,16.731176,3.182424,-0.456590,0.354579,0.190209,-0.143472,0.111418,2.090000,5.480000,8.240000,11.960000,13.290000,14.510000,16.320000,17.740000,19.000000,20.270000,20.900000,21.600000,23.280001,24.520000,26.600000,0.539089,17.672309,18.361481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,45.400525,wolowiec,bk,,60,3,porolny
94,94_zdy_p_d,108173,79759,64928,13862,944,25,0,0,0,0,0,0,0.510000,25.480000,13.958134,14.778571,3.041818,9.252656,0.217924,2.809999,-0.930722,5.769773,2.131903,1.389999,1.401429,13.958134,1.583548,-0.212193,0.400816,0.113450,-0.133998,0.253113,3.690000,7.980000,10.400000,12.330000,12.800000,13.180000,13.790000,14.320000,14.810000,15.320000,15.610000,15.940000,16.930000,18.160000,21.150000,0.538572,14.285729,14.550681,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,48.637629,zdynia,bk,,52,3,porolny
95,95_zdy_p_d,141545,113459,83682,26669,3008,98,2,0,0,0,0,0,0.510000,29.420000,12.477162,13.358889,4.937555,24.379452,0.395727,7.240000,0.004407,2.464685,4.044630,3.600000,3.581112,12.477162,2.818690,-0.022658,0.245214,0.225908,-0.008039,0.086996,2.260000,4.300000,5.730000,7.840000,8.760000,9.660000,11.330000,12.670000,13.930000,15.260000,16.000000,16.830000,18.900000,20.469999,23.330000,0.413945,13.418599,14.187144,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.519322,zdynia,bk,,52,3,porolny
96,96_zdy_p_d,100333,79981,56319,20694,2834,129,5,0,0,0,0,0,0.510000,31.150000,15.350671,14.614127,6.150770,37.831966,0.400684,8.320000,0.183218,2.501156,4.956912,4.030000,3.995874,15.350671,3.494681,0.172931,0.370421,0.227657,0.049484,0.105996,2.620000,5.390000,7.530000,10.270000,11.180000,11.920000,13.390000,14.810000,16.290001,18.219999,19.500000,20.980000,24.420000,26.280001,28.520000,0.484356,16.537067,17.546407,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.230007,zdynia,bk,,52,3,porolny
97,97_zdy_p_d,124638,66983,49550,15248,2042,141,2,0,0,0,0,0,0.510000,26.700001,9.330857,8.824286,5.074694,25.752514,0.543861,7.150000,0.447962,2.798154,4.102447,3.570000,3.555714,9.330857,2.869177,0.237027,0.286706,0.307493,0.082611,0.099926,0.660000,1.600000,2.870000,4.690000,5.480000,6.250000,7.650000,8.960000,10.310000,11.800000,12.630000,13.500000,16.200001,18.680000,22.360001,0.336802,10.621536,11.676053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.636384,zdynia,bk,,62,4,porolny
98,98_zdy_p_d,127298,99093,75802,21112,2084,92,3,0,0,0,0,0,0.510000,26.030001,13.227740,14.687778,4.539181,20.604167,0.343156,6.050000,-0.367443,2.780454,3.632786,2.990000,2.972222,13.227740,2.561782,-0.200488,0.302149,0.193667,-0.078261,0.117945,2.150000,4.750000,6.770000,9.450000,10.370000,11.180000,12.530000,13.660000,14.740000,15.840000,16.420000,17.080000,18.809999,20.110001,22.240000,0.498344,13.984887,14.577488,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,45.836216,zdynia,bk,,62,4,porolny
